Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories
Waypoint	WPT167		User Waypoint	N56 07.552 E13 43.323	42 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:22:16 		
Waypoint	WPT168		User Waypoint	N56 07.551 E13 43.323	41 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:22:52 		
Waypoint	WPT169		User Waypoint	N56 07.552 E13 43.317	41 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:23:10 		
Waypoint	WPT170		User Waypoint	N56 07.555 E13 43.318	41 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:23:30 		
Waypoint	WPT171		User Waypoint	N56 07.553 E13 43.318	41 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:24:15 		
Waypoint	WPT172		User Waypoint	N56 07.552 E13 43.330	38 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:33:44 		
Waypoint	WPT173		User Waypoint	N56 07.548 E13 43.333	38 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:34:10 		
Waypoint	WPT174		User Waypoint	N56 07.547 E13 43.335	40 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:34:40 		
Waypoint	WPT175		User Waypoint	N56 07.547 E13 43.332	40 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:34:58 		
Waypoint	WPT176		User Waypoint	N56 07.549 E13 43.339	41 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:35:12 		
Waypoint	WPT177		User Waypoint	N56 07.549 E13 43.339	40 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:35:52 		
